date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:41	141/141	---M--	200	added ('OK')	text/plain	date:Fri,%2010%20Apr%202026%2003:38:00%20GMT	http://n1.hitechdonkey.com/robots.txt		(from )
09:32:43	474910/474910	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:02:44%20GMT	http://n1.hitechdonkey.com/	C:/xampp/htdocs/n1/n1.hitechdonkey.com/index.html	(from )
09:32:43	294496/294496	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202026%2003:37:56%20GMT	http://n1.hitechdonkey.com/assets/css/vendor/bootstrap.min.css	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/css/vendor/bootstrap.min.css	(from http://n1.hitechdonkey.com/)
09:32:44	45036/45036	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202026%2003:37:56%20GMT	http://n1.hitechdonkey.com/assets/css/vendor/animate.min.css	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/css/vendor/animate.min.css	(from http://n1.hitechdonkey.com/)
09:32:44	13304/13304	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Apr%202026%2003:37:58%20GMT	http://n1.hitechdonkey.com/assets/images/logo/favicon-icef.png	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/images/logo/favicon-icef.png	(from http://n1.hitechdonkey.com/)
09:32:45	5020/5020	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202026%2003:37:56%20GMT	http://n1.hitechdonkey.com/assets/css/plugins/nice-select.css	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/css/plugins/nice-select.css	(from http://n1.hitechdonkey.com/)
09:32:45	18454/18454	---MCZ	200	added ('OK')	text/css	etag:W/%224816-00NTceTFOXSCfuleSHYg+tVGAkA%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/xampp/htdocs/n1/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from http://n1.hitechdonkey.com/)
09:32:45	20805/20805	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202026%2003:37:56%20GMT	http://n1.hitechdonkey.com/assets/css/plugins/flatpickr.min.css	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/css/plugins/flatpickr.min.css	(from http://n1.hitechdonkey.com/)
09:32:45	6524/6524	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202026%2003:37:56%20GMT	http://n1.hitechdonkey.com/assets/css/plugins/nouislider.min.css	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/css/plugins/nouislider.min.css	(from http://n1.hitechdonkey.com/)
09:32:46	7718/7718	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202026%2003:37:56%20GMT	http://n1.hitechdonkey.com/assets/css/vendor/magnific-popup.css	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/css/vendor/magnific-popup.css	(from http://n1.hitechdonkey.com/)
09:32:46	3299/3299	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202026%2003:37:56%20GMT	http://n1.hitechdonkey.com/assets/css/vendor/odometer.min.css	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/css/vendor/odometer.min.css	(from http://n1.hitechdonkey.com/)
09:32:46	17244/17244	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202026%2003:37:56%20GMT	http://n1.hitechdonkey.com/assets/css/vendor/spacing.css	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/css/vendor/spacing.css	(from http://n1.hitechdonkey.com/)
09:32:46	140913/140913	---MCZ	200	added ('OK')	text/css	etag:W/%2222671-k1y8Ek8KATz1lz8BY0mFV3PqF4E%22	https://cdn.jsdelivr.net/npm/remixicon@4.3.0/fonts/remixicon.css	C:/xampp/htdocs/n1/cdn.jsdelivr.net/npm/remixicon@4.3.0/fonts/remixicon.css	(from http://n1.hitechdonkey.com/)
09:32:47	541312/541312	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202026%2020:00:00%20GMT	http://n1.hitechdonkey.com/assets/css/main.css	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assets/css/main.css	(from http://n1.hitechdonkey.com/)
09:32:50	248741/248741	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:02:50%20GMT	http://n1.hitechdonkey.com/about-mission.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/about-mission.html	(from http://n1.hitechdonkey.com/)
09:32:54	474910/474910	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:02:52%20GMT	http://n1.hitechdonkey.com/index.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/index-2.html	(from http://n1.hitechdonkey.com/)
09:32:54	158681/158681	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:02:53%20GMT	http://n1.hitechdonkey.com/industry-clients.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/industry-clients.html	(from http://n1.hitechdonkey.com/)
09:32:54	122196/122196	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:02:53%20GMT	http://n1.hitechdonkey.com/awards.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/awards.html	(from http://n1.hitechdonkey.com/)
09:32:57	178173/178173	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:02:57%20GMT	http://n1.hitechdonkey.com/careers-culture.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/careers-culture.html	(from http://n1.hitechdonkey.com/)
09:33:01	502397/502397	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:02:57%20GMT	http://n1.hitechdonkey.com/it-emerging-tech-enablement.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/it-emerging-tech-enablement.html	(from http://n1.hitechdonkey.com/)
09:33:02	502451/502451	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:02:59%20GMT	http://n1.hitechdonkey.com/iot-and-rfid.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/iot-and-rfid.html	(from http://n1.hitechdonkey.com/)
09:33:06	502447/502447	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:00%20GMT	http://n1.hitechdonkey.com/application-development.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/application-development.html	(from http://n1.hitechdonkey.com/)
09:33:09	502455/502455	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:05%20GMT	http://n1.hitechdonkey.com/customized-software-development.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/customized-software-development.html	(from http://n1.hitechdonkey.com/)
09:33:11	502455/502455	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:05%20GMT	http://n1.hitechdonkey.com/emerging-tech.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/emerging-tech.html	(from http://n1.hitechdonkey.com/)
09:33:13	502261/502261	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:10%20GMT	http://n1.hitechdonkey.com/assessment-and-testing.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assessment-and-testing.html	(from http://n1.hitechdonkey.com/)
09:33:16	502340/502340	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:12%20GMT	http://n1.hitechdonkey.com/cognitive-domain.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/cognitive-domain.html	(from http://n1.hitechdonkey.com/)
09:33:18	502322/502322	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:14%20GMT	http://n1.hitechdonkey.com/online-offline.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/online-offline.html	(from http://n1.hitechdonkey.com/)
09:33:21	502358/502358	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:17%20GMT	http://n1.hitechdonkey.com/proctoring.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/proctoring.html	(from http://n1.hitechdonkey.com/)
09:33:24	502175/502175	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:20%20GMT	http://n1.hitechdonkey.com/recruitment-and-hiring.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/recruitment-and-hiring.html	(from http://n1.hitechdonkey.com/)
09:33:26	502373/502373	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:22%20GMT	http://n1.hitechdonkey.com/screening.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/screening.html	(from http://n1.hitechdonkey.com/)
09:33:30	502358/502358	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:25%20GMT	http://n1.hitechdonkey.com/assessments.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/assessments.html	(from http://n1.hitechdonkey.com/)
09:33:33	502371/502371	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:28%20GMT	http://n1.hitechdonkey.com/merit-lists.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/merit-lists.html	(from http://n1.hitechdonkey.com/)
09:33:35	502218/502218	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:30%20GMT	http://n1.hitechdonkey.com/exam-management.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/exam-management.html	(from http://n1.hitechdonkey.com/)
09:33:38	502401/502401	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:33%20GMT	http://n1.hitechdonkey.com/question-banks.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/question-banks.html	(from http://n1.hitechdonkey.com/)
09:33:40	502393/502393	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:36%20GMT	http://n1.hitechdonkey.com/exam-conduct.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/exam-conduct.html	(from http://n1.hitechdonkey.com/)
09:33:43	502373/502373	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:39%20GMT	http://n1.hitechdonkey.com/exam-processing.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/exam-processing.html	(from http://n1.hitechdonkey.com/)
09:33:45	502180/502180	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:41%20GMT	http://n1.hitechdonkey.com/manpower-and-workforce.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/manpower-and-workforce.html	(from http://n1.hitechdonkey.com/)
09:33:48	502383/502383	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:44%20GMT	http://n1.hitechdonkey.com/outsourcing.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/outsourcing.html	(from http://n1.hitechdonkey.com/)
09:33:51	502360/502360	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:46%20GMT	http://n1.hitechdonkey.com/staffing.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/staffing.html	(from http://n1.hitechdonkey.com/)
09:33:53	502385/502385	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:48%20GMT	http://n1.hitechdonkey.com/deployment.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/deployment.html	(from http://n1.hitechdonkey.com/)
09:33:56	502195/502195	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:51%20GMT	http://n1.hitechdonkey.com/call-center-and-bpos.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/call-center-and-bpos.html	(from http://n1.hitechdonkey.com/)
09:33:59	502399/502399	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:55%20GMT	http://n1.hitechdonkey.com/inbound-outbound.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/inbound-outbound.html	(from http://n1.hitechdonkey.com/)
09:34:01	502386/502386	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:56%20GMT	http://n1.hitechdonkey.com/support.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/support.html	(from http://n1.hitechdonkey.com/)
09:34:03	502366/502366	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:03:59%20GMT	http://n1.hitechdonkey.com/tele-calling.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/tele-calling.html	(from http://n1.hitechdonkey.com/)
09:34:05	269452/269452	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:04:04%20GMT	http://n1.hitechdonkey.com/why-choose-us.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/why-choose-us.html	(from http://n1.hitechdonkey.com/)
09:34:05	102846/102846	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2004:04:07%20GMT	http://n1.hitechdonkey.com/articles.php	C:/xampp/htdocs/n1/n1.hitechdonkey.com/articles.html	(from http://n1.hitechdonkey.com/)
